titleId,ml_rating_count,ml_rating_mean,ml_rating_std,ml_rating_median,ml_rating_0_5,ml_rating_1_0,ml_rating_1_5,ml_rating_2_0,ml_rating_2_5,ml_rating_3_0,ml_rating_3_5,ml_rating_4_0,ml_rating_4_5,ml_rating_5_0,ml_tags
tt0114319,13585,3.363967611336032,0.9641930043909789,3.0,120,382,130,1083,472,5204,723,3651,260,1560,"as good maybe better than original, great cast, long island, love story, remake, remakeOf:Sabrina(1954), upstairs-downstairs, romance, Romance, Drama, finding yourself, Greg Kinnear, Julia Ormond, based on a play, american abroad, attempted seduction, automobile, based on play, bentley motor vehicle, bentley the car, bicycle tour, british car, brother brother relationship, brother punches brother, business deal, business merger, businessman, character name as title, chauffeur, cinderella story, cleavage, color remake of black and white film, coming of age, concorde paris, confession, dinner date, dog, elopement, ends with a kiss, fairy tale, falling in love, family business, family estate, family relationships, fantasy romance, fashion assistant, father son relationship, female protagonist, fiance fiancee relationship, flat screen television, forbidden love, french boyfriend, fusion, helicopter ride, infatuation, interrupted kiss, jet plane, kiss, living above a garage, long island new york, long island, new york, love triangle, makeover, man sedated, marriage engagement, marriage proposal, martha's vineyard, midlife crisis, millionaire, mistaken identity, mother son relationship, new york city, oceanside home, offering a bribe, paris, paris france, paris, france, park avenue manhattan new york city, party, passionate kiss, photographer, picnic on the beach, playboy, reference to bill bojangles robinson, return home, sibling relationship, sitting on glass, slow dancing, solarium, sophistication, surprise ending, telephone call, transformation, tycoon, unfaithful fiance, unrequited love, vogue magazine, voice over narration, womanizer, workaholic, Harrison Ford, Julia Ormand, redemption, chick flick, CLV, breakout, ugly duckling, NO_FA_GANES, Paris, comedy, love"
tt0112896,4258,2.649131047440113,1.1311986886965488,3.0,98,647,119,818,245,1322,218,500,54,237,"vampire, vampires, Leslie Nielsen, spoof, funny, gothic, parody, Mel Brooks, farce, abandoned chapel, absurd comedy, asking for punishment, asking to be punished, assistant, autopsy, aversion to garlic, ball, barefoot, barefoot woman, bat, bat excrement, bending a prison bar, bending metal bar, bending steel bars, big breasts, bite mark, bitten by a vampire, bitten in the neck, blood, blood on shirt, blood splatter, borgo pass, brain, breaking a glass window, breaking a mirror, bride, british abroad, broken mirror, burned alive, burned by a cross, burnt by sunlight, busty woman, calling someone a degenerate, calling someone a pervert, calling someone an asshole, calling someone darling, calling someone my dear, carfax abbey, castle, caught in a spider web, chandelier, chapel, character name in title, character repeats someone else's dialogue, character says i don't care, character says i still got it, character says poppycock, character says they had it coming, climbing through a window, coachman, cobweb, coffin, colliding on glass window, colliding with chandelier, colon in title, corpse, count, couple dancing, covered in blood, cross, cult film, dance scene, dancing, dancing in front of a mirror, death, death of vampire, doctor, downblouse, dr jack seward character, dracula, dream, dream scene, dream sequence, drink thrown into someone's face, eating an insect, end credits roll call, enema, enslavement, entering the closet, exploding body, face slap, fainting, fainting man, falling down stairs, falling from height, fangs, father daughter relationship, father sees man groping his daughter, female vampire, fiance fiancee relationship, finger cut, five word title, full moon, garlic, grasshopper, grave, guano, gypsy, hammer, hanging upside down, horror spoof, horse and carriage, horse carriage, hospital, human brain, human caught in spider web, human versus vampire, hung upside down, hypnosis, hypnotism, immortality, incision, insane asylum, insect, insect eating, intangibility, intestines, jonathan harker character, jumping through a window, killed by a vampire, killed by sunlight, london england, loss of friend, love, lucy westenra character, lust, maidservant, male protagonist, male vampire, man molested by woman, mental control, mina murray character, mountain pass, mourning for the villain, no reflection, no reflection in a mirror, nosferatu, opera, order, organ, pallor, paper cut, park, perseverance, poked in the eye, pretty woman, professor, psychotronic film, redhead, redheaded woman, reference to a demon, reference to abraham van helsing, reference to an enema, reference to demons, reference to paris, reference to whitby, renfield, renfield character, romania, sailing ship, sanitarium, satire, satirical, scarf, schooner, seduction, seductive dance, sexy female vampire, sexy woman, shadow, shadow on a wall, shapeshifter, shapeshifting, ship, ship's wheel, skull, slapstick comedy, slave, slipping on shit, slipping on stairs, smashing mirror, solicitor, spider, spiderweb, stabbed in the heart, stake through the heart, stepping in shit, stepping on someone, sunset, super strength, superhuman strength, telekinesis, theater, trance, transylvania, trying to get the last word, undead, undressing in front of a window, vampire bat, vampire bite, vampire biting neck, vampire castle, vampire comedy, vampire count, vampire fangs, vampire horror, vampire hunter, vampire killed by sunlight, vampire lair, vampire slayer, vampirism, van helsing, van helsing character, village, voluptuous woman, wearing a scarf indoors, wig, woman exposing her breasts, woman wears a scarf, written and directed by cast member, year 1893, BD-R"
tt0114388,22251,3.9451260617500337,0.9670411009100338,4.0,125,458,69,732,257,4033,1163,7653,1068,6693,"boring, nothing happens, 18th century, classic, emotional, British, Jane Austen, Romance , period piece, romance, seen a while ago, Alan Rickman, Emma Thompson, Hugh Grant, Kate Winslet, 19th century, English, Romance, romantic, dvd, mine, adapted from:book, based on a book, very well adapted, hulu, BGAB LRC, na dysku, Ang Lee, author:Jane Austen, Britain, classic literature, costume drama, Period, period drama, period film, Regency England, Bibliothek, courtship, heartbreak, Hugh Laurie, Imogen Stubbs, London, patriarchy, rural, upper class, chick flick, fast, hugh grant, shakespeare, not available, 1800s, 1810s, acceptance, arranged marriage, atlas, baby, based on novel, based on novel or book, bed, bird, blood, bouquet, bowling, brother brother relationship, brother sister relationship, candle, card game, church, class differences, coin, colonel, comedy of manners, cottage, country estate, country life, cousin cousin relationship, damsel in distress, dancing, dark past, death of husband, death of stepfather, decorum, depression, devon, devon england, dinner, disdain, doctor, dog, drawing, east indies, empire fashion, ends with a wedding, english country dance, f rated, fall, famous score, father son relationship, female protagonist, gentle cinema, handkerchief, horse, horse and carriage, horseback riding, husband wife relationship, ill teenage girl, illegitimate child, illness, inheritance, intimacy, jane austen, jealousy, kite, letter, lock of hair, london england, loss of father, loss of fortune, love triangle, marriage proposal, medical examination, melodrama, military officer, money, monogram, mother daughter relationship, mother in law son in law relationship, older man younger woman relationship, opening a door, parcel, parish, parrot, party, piano, pianoforte, picnic, poetry, poverty, pregnancy, prudence, rainstorm, reference to william shakespeare, regency period, rescue, resignation, rich man poor woman, rich snob, romanticism, rural area, rural setting, second wife, secrecy, secret engagement, secret marriage engagement, servant, shakespearean quotation, sincerity, singing, sister sister relationship, snobbery, stable, stepbrother stepsister relationship, stepmother, suitor, sword fighting, tearjerker romance, teenage girl, three sisters, three word title, timeframe 1800s, timeframe 1810s, title same as book, tomboy, treehouse, unrequited love, vicar, visit, wedding, widow, young girl, Oscar Nominee: Best Picture, Oscar Nominee: Best Picture 1995, historical, literature, Great Adaptations, Great Screenplays, BD-R, CLV, british, Netflix Finland, own, Shakespeare, favorite, heartwarming, Sven's to see list, Clssical Romance, true love story, 4k, trials and tribulations"
tt0112401,4717,3.1504133983464064,0.9500381330091923,3.0,26,216,87,512,260,1803,364,1061,80,308,"Antonio Banderas, Sylvester Stallone, Wachowski Brothers, 2.5, action, assassination, afternoon section, Julianne Moore, bank, caribbean, cat, cia, competition, detroit, double cross, hidden camera, hitman, mexican standoff, mission of murder, police chase, rescue, rivalry, seattle, shootout, silencer, sniper rifle, Intense , contract killer, Seattle, CLV, chess, escape, explosions, festival, plot twist, Spain, strong cast, stunts"
tt0112818,21759,3.920561606691484,0.8985424138003757,4.0,65,258,55,676,297,4461,1313,7819,979,5836,"Christianity, Oscar (Best Actress), Sean Penn, Susan Sarandon, true story, death penalty, 2, emotion!, intense, sad, Catholicism, Nun, prison, religion, deaf, Can't remember, death, institutions, dialogues, rape, watch, based on a book, rewatch, abduction, adult diaper, american, anger, armed guard, audience, baseball game, based on book, based on true story, bible, bigot, bigotry, bishop, blockbuster, brother, brutality, burial, bus, candle, capital punishment, catholic, catholic priest, cemetery, chaplain, charity, checker game, child, church, classroom, clock, coffin, confession, corpse, court, court case, court hearing, cowardliness, crime reenactment, crucifix, crying, crying man, dead man, dead teen couple, death row, death sentence, defense lawyer, despair, document, doomed man, dream, electric chair, empathy, ethics, evidence, execution, extreme cruelty, f rated, fainting, faith, father daughter relationship, father son relationship, female nudity, fence, flashback, forest, forgiveness, funeral, gender in title, governor, graveyard, grief, guilt, gunshot, gurney, handcuffs, hatred, holy bible, inmate, jury, justice, knife, lake, latex gloves, laughter, law, lawyer, legal paper, legal rights, legal trial, lethal injection, letter, liberal, lie detector, lightning, listening to radio, little boy, little girl, loss, louisiana, low life, making out, mercy petition, microphone, mother daughter relationship, mother son relationship, murder, murder of a nude woman, news report, newspaper clipping, nun, penalty, photograph, placard, plain clothes nun, playing checkers, poem, police car, police officer, politician, polygraph test, poverty, prayer, priest, prison cell, prison farm, prison guard, prison nurse, prison road gang, prisoner, protestor, psalm, racism, racist, rage and hate, rapist, rat, redemption, reference to adolf hitler, reference to fidel castro, reference to james cagney, reference to ma barker, reference to w. c. fields, repentance, reporter, rifle, right and justice, roman catholic, rope skipping, savagery, scum, search party, security, self pity, self-discovery, sentence, shot to death, singing, siren, slums, smoking, social justice, socially deprived family, solitary confinement, southern gospel, southern u.s., speeding vehicle, stabbed to death, stabbing, straitjacket, support group, swastika, sympathy, tattoo, tears, teenage boy, teenage girl, telephone call, testimony, texas death row, therapist, thunder, tied up, title spoken by character, tv camera, unsociability, vigil, visit, visitor, watching tv, white supremacy, witness, woods, work detail, CLV, adapted from:book, author:Helen Prejean, Bechdel Test:Pass, movielens top pick, Oscar Nominee: Director, Oscar Nominee: Lead Actor, Oscar Nominee: Music - Original Song, pompadour, R, R:depiction of a rape and murder, Seen 2020, Annemari, Bible, rated-R, social commentary, book, crime, drama, Tim Robbins, UK, USA, buy, courtroom, Abe, Ari, Knoll"
tt0113158,944,3.2282838983050848,1.0002941348522347,3.0,1,57,6,112,6,389,14,267,4,88,"alcohol, artist, band, drugs, music, musicians, 100 Essential Female Performances"
tt0113828,2982,3.796613011401744,1.0476560940102067,4.0,24,100,10,156,45,574,158,1010,140,765,"World War II, boxer, jewish, lawyer, nun, paris, foreign language, opera, adapted from:book, author:Victor Hugo, based on a book, changed the book TOO much, love"
tt0113403,487,3.6786447638603694,1.0457221356891433,4.0,1,21,1,25,6,139,17,155,6,116,"theater, actor, christmas, hamlet, play, Christmas, found family, Hamlet, heartwarming, theatre play, theatrical"
tt0111173,92,2.614130434782609,1.1071775344044505,2.75,1,13,3,23,6,28,2,9,1,6,"directorial debut, Jude Law, want to own"
tt0110647,1482,2.3049932523616734,1.1939366990246454,2.0,88,353,56,290,69,372,38,142,9,65,"unnecessary sequel, based on children's book, dragon, fantasy world, flying, magic, sequel, imaginative, interesting, magical, neverending story"
